token_0,token_1,token_2,token_3,token_4,token_5,label
Sr,Sg,Cr,Dr,Sg,Tr,1
Cr,Sg,Dg,Tr,Cr,Sr,1
Tr,Cr,Tr,Cr,Cg,Cg,1
Cr,Cg,Dg,Tr,Dg,Tg,1
Cr,Dr,Cr,Dr,Cg,Sr,0
Tg,Dg,Dg,Tr,Sg,Cr,0
Dg,Sg,Tg,Cr,Dr,Tg,1
Sr,Dr,Tg,Tg,Dg,Sg,1
Cg,Dr,Tr,Dr,Tg,Dg,1
Dr,Dr,Tg,Sg,Sg,Tr,1
Sr,Sr,Dr,Tr,Sg,Sr,1
Tr,Tr,Cg,Sr,Cr,Cg,0
Cr,Tr,Sr,Tr,Dr,Tg,1
Cg,Dg,Dr,Sr,Tg,Dr,1
Sg,Cr,Tr,Cr,Cr,Tg,0
Dr,Tg,Tg,Cr,Tg,Sg,1
Sg,Tr,Tg,Sg,Sr,Tg,0
Tg,Cg,Dg,Sg,Dg,Sg,0
Cr,Dg,Sr,Cr,Tr,Dr,1
Dg,Tr,Sr,Sg,Cr,Dg,0
Tr,Dg,Tg,Tg,Sr,Tg,1
Dg,Tr,Sr,Cr,Cr,Tg,1
Tg,Cr,Cg,Tg,Dr,Tr,0
Sr,Dg,Tg,Sr,Cr,Tg,1
Cg,Tg,Sg,Dr,Tg,Sg,1
Dr,Cg,Sg,Tg,Cg,Sg,0
Sr,Dg,Dg,Cg,Dg,Tg,0
Tr,Dr,Sr,Dr,Sr,Dr,0
Tr,Dr,Cg,Sg,Sr,Tg,0
Cr,Sg,Tr,Cr,Dg,Cr,0
Sg,Cg,Dr,Tr,Dg,Sr,1
Tg,Tg,Dr,Dr,Tg,Cr,0
Sr,Cg,Tr,Sr,Cr,Tg,0
Cr,Tg,Cr,Sr,Cr,Cg,1
Dg,Sg,Tg,Dr,Tg,Sr,0
Cr,Cg,Cr,Cg,Dr,Dg,1
Cg,Sr,Cr,Sr,Cg,Cg,0
Sr,Cg,Sg,Tr,Tr,Tr,1
Tr,Tg,Sr,Cr,Dr,Sg,0
Dr,Cr,Sr,Sg,Dr,Dg,1
Dg,Cg,Dr,Tr,Tg,Cg,0
Cg,Sg,Tg,Dg,Cg,Sg,1
Cr,Tg,Tg,Sr,Tg,Cr,0
Dr,Dg,Tg,Dg,Tg,Dr,1
Sr,Cg,Cg,Sg,Dg,Cg,0
Dg,Cg,Cg,Sg,Sg,Cg,0
Cr,Dg,Cr,Dg,Sg,Cg,1
Sg,Tr,Sr,Cg,Cg,Cr,0
Dr,Tg,Cg,Sr,Sg,Tr,0
Dg,Sg,Tr,Sg,Sr,Cg,0
Tg,Tr,Cg,Tg,Cg,Dr,1
Tr,Dr,Cr,Tg,Cr,Dg,0
Dg,Cr,Cr,Cg,Dg,Tr,0
Tg,Tg,Tg,Tr,Dg,Tr,1
Sg,Tr,Dr,Sr,Dg,Sr,1
Cr,Sg,Cg,Tr,Sr,Tg,0
Tg,Cr,Sg,Dr,Cg,Dg,0
Tr,Cg,Dg,Sg,Cg,Cr,0
Sg,Dr,Dr,Cr,Cr,Cg,1
Sg,Sg,Sr,Tg,Dg,Tg,1
Sr,Dr,Sr,Cr,Dr,Dg,1
Sg,Dg,Cg,Sg,Sr,Dg,0
Tg,Sr,Tg,Sg,Tg,Sg,0
Tg,Sr,Dg,Tr,Sg,Sr,1
Dr,Tg,Dr,Cr,Dg,Tg,0
Tg,Sr,Tr,Dg,Dg,Sg,1
Dr,Sr,Sr,Dg,Tg,Dg,0
Dr,Tg,Sr,Tr,Tr,Dr,1
Tg,Tr,Tg,Cg,Dr,Cg,1
Cr,Cg,Sg,Tr,Dg,Dg,1
Sg,Tg,Sg,Tg,Tr,Sr,0
Sr,Cr,Cg,Sr,Tg,Sg,0
Tr,Sg,Dr,Dr,Tg,Dg,0
Sr,Sg,Cg,Cr,Cg,Tg,0
Tg,Sg,Tr,Tr,Sg,Dg,0
Dg,Dr,Cg,Cr,Dr,Dr,0
Tr,Tr,Tr,Dg,Tg,Sg,1
Tr,Tg,Sg,Cg,Sr,Tr,1
Sr,Cg,Sg,Cr,Cr,Tr,0
Tr,Cg,Cr,Sr,Cr,Tr,1
Cr,Tg,Cr,Dr,Dr,Tr,0
Sr,Dg,Sg,Tg,Dg,Tr,1
Sg,Cr,Dr,Tg,Cg,Sr,0
Dg,Sr,Dg,Sg,Tg,Tg,1
Sg,Cr,Sr,Tr,Dr,Cr,0
Tr,Sg,Dg,Tr,Cg,Cg,1
Dg,Tg,Cg,Sr,Tg,Sg,1
Sg,Cr,Dg,Cr,Sg,Dg,0
Cr,Cg,Cr,Cr,Dg,Dg,0
Sr,Dg,Tr,Dr,Dr,Dg,1
Dr,Sr,Sg,Sr,Sr,Tg,1
Sr,Dg,Sg,Tg,Dr,Sr,1
Cr,Dr,Cr,Tg,Dr,Cr,0
Cg,Sr,Sr,Sr,Dg,Dg,0
Cg,Dr,Dr,Dr,Dr,Cg,0
Tr,Dg,Dg,Dr,Dg,Tr,0
Dr,Cg,Sg,Sr,Tg,Sr,0
Tg,Cg,Tg,Cg,Cg,Tg,1
Sr,Cr,Sg,Tr,Cr,Cr,1
Dr,Cr,Sr,Sg,Sg,Tg,1
Sg,Sr,Tr,Cg,Sg,Tr,0
Dr,Tg,Cr,Sr,Dg,Tg,0
