token_0,token_1,token_2,token_3,token_4,label
Sr,Tr,Cg,Tg,Cg,0
Sr,Sr,Tr,Tr,Tr,1
Tr,Cr,Tr,Sr,Cr,0
Tr,Tr,Tg,Sg,Sg,1
Tr,Sg,Tr,Sg,Sr,1
Cr,Cr,Cr,Sr,Tr,1
Sg,Tr,Tg,Tg,Sg,0
Sr,Cg,Cg,Cg,Sg,0
Sr,Tg,Tr,Cr,Tr,1
Sg,Sr,Tg,Sg,Sg,1
Cg,Cg,Tg,Tr,Cg,1
Sg,Tg,Sg,Sr,Cr,1
Cg,Cr,Sr,Sg,Sg,1
Sg,Tg,Cg,Sr,Sr,0
Sg,Sr,Cg,Tg,Sg,0
Tr,Cg,Sg,Sg,Cr,0
Tg,Tr,Cr,Cg,Tr,1
Cr,Tg,Tg,Tr,Sg,1
Cg,Tr,Sg,Sr,Sg,1
Tr,Tg,Sr,Sg,Cr,0
Tr,Tr,Sr,Cr,Sg,1
Cg,Sg,Sg,Cg,Tr,0
Tg,Tr,Cg,Sr,Tg,0
Tr,Tr,Sr,Tr,Cg,0
Cg,Cr,Tg,Tr,Sr,1
Sg,Tr,Cg,Sg,Tr,0
Cg,Cg,Cg,Tg,Tg,0
Tr,Cg,Sg,Tg,Sr,0
Sr,Cr,Tr,Sg,Cg,1
Sg,Cr,Sg,Cr,Sg,1
Sg,Cg,Cg,Sr,Cr,0
Tr,Tr,Tr,Tg,Sg,1
Tr,Sg,Tr,Tg,Sr,0
Cr,Sg,Tg,Tr,Cr,1
Tr,Cr,Tr,Sg,Tg,0
Sr,Tg,Tr,Tr,Sr,1
Tg,Sr,Cg,Sg,Tg,1
Sr,Tg,Tg,Cr,Cr,0
Tr,Cg,Tg,Tg,Cr,0
Cg,Sr,Cg,Cg,Cg,0
Tr,Sg,Cr,Sg,Cr,0
Cr,Cg,Tg,Tg,Tg,0
Cg,Cg,Sr,Tg,Tr,1
Cg,Cr,Sr,Tr,Cr,1
Sr,Cr,Tg,Sr,Cr,0
Tr,Cg,Tr,Cg,Cg,1
Cg,Cg,Sr,Cg,Sr,1
Tg,Sg,Cg,Cr,Sr,0
Sg,Sg,Tg,Cr,Sg,0
Cg,Tr,Cr,Sr,Sg,1
Tg,Sg,Tg,Sr,Cr,0
Cg,Cg,Sr,Cg,Tg,1
Tr,Cr,Tr,Sr,Cg,1
Sg,Cg,Cg,Cg,Cr,1
Sr,Tr,Cg,Tg,Tg,0
Sg,Sr,Cg,Cg,Tg,1
Sr,Sr,Tg,Tg,Tg,1
Sr,Sg,Sr,Tr,Tr,0
Sr,Cr,Sr,Sr,Cg,1
Sr,Tg,Sr,Cr,Cr,1
Sr,Cg,Sr,Tg,Tr,1
Cr,Cr,Sg,Cr,Cg,0
Cr,Cr,Tr,Sg,Cg,1
Cr,Tr,Tg,Cr,Sg,0
Cr,Cg,Tr,Sg,Sg,0
Cg,Tg,Tr,Cr,Cr,0
Sg,Cg,Sr,Cr,Cr,1
Sg,Tr,Sg,Sr,Tg,1
Cr,Cr,Sg,Cr,Tg,1
Cg,Sr,Sr,Tg,Cg,1
Sg,Cg,Sr,Sr,Tg,1
Cg,Tg,Tr,Tr,Tg,1
Sg,Tr,Sr,Sr,Sg,1
Cg,Sr,Cr,Tr,Tr,0
Cg,Cr,Tg,Sg,Tg,1
Sr,Cg,Sg,Cr,Tr,1
Sg,Sr,Sr,Cr,Tr,1
Cr,Sr,Tg,Cr,Tg,0
Cg,Sg,Cg,Cr,Tg,0
Cg,Tg,Sr,Sg,Sg,1
Cg,Sg,Sg,Tg,Sr,1
Cg,Sr,Tr,Tg,Cr,1
Tg,Cr,Cr,Sg,Sr,0
Tg,Tr,Cg,Tg,Sg,0
Tg,Cr,Cg,Tr,Tr,1
Cr,Sr,Sg,Tr,Cr,1
Cg,Cg,Cg,Cg,Sg,0
Cg,Sg,Cg,Cg,Sg,1
Sg,Sr,Cg,Sg,Tr,0
Sr,Cr,Sr,Cr,Sg,1
Tr,Cg,Cr,Sr,Tr,1
Tg,Cg,Tg,Sg,Sr,0
Tg,Cg,Tr,Cr,Cr,0
Tg,Sg,Sg,Cg,Tr,0
Cr,Tg,Sg,Tr,Tg,0
Cg,Sg,Cg,Cr,Cg,0
Cg,Tr,Sr,Sg,Sr,1
Sr,Tr,Sg,Cg,Tg,1
Tr,Cr,Sg,Tr,Sg,1
Cg,Tr,Sg,Cr,Cr,0
Sr,Cr,Cr,Tg,Tr,1
Cg,Sr,Tr,Tr,Sr,1
Sr,Sg,Tr,Sr,Sr,0
Cg,Tg,Sr,Sr,Tr,0
Sr,Tg,Cg,Cr,Sg,0
Tr,Tr,Tg,Cr,Tr,0
Tg,Tr,Sr,Tr,Sr,1
Tg,Cg,Tg,Cg,Sr,1
Cr,Cg,Sr,Cg,Cg,0
Sg,Cg,Tg,Tr,Tr,0
Sr,Sg,Cg,Tr,Tg,1
Sr,Cr,Cg,Tr,Cg,0
Tr,Sg,Cr,Tg,Tr,1
Tg,Sg,Tr,Cg,Sg,1
Tg,Sr,Sg,Tr,Cg,1
Tr,Sr,Cg,Tr,Tg,0
Sg,Cr,Sg,Tr,Tr,0
Cr,Cr,Tr,Sr,Cr,1
Tg,Tr,Cg,Sg,Sr,1
Tg,Tr,Sg,Sr,Cr,0
Tr,Cr,Sr,Tg,Tg,1
Sg,Cr,Cg,Cg,Sg,1
Tr,Cg,Cr,Tg,Cr,1
Cg,Cr,Cg,Cr,Tg,1
Cg,Tr,Cg,Tg,Sr,0
Tg,Sg,Cr,Cr,Sr,0
Tr,Tr,Sr,Cg,Tg,1
Tr,Sg,Sr,Cg,Tg,0
Sg,Tg,Sg,Tr,Tr,0
Sr,Sg,Tr,Tg,Cr,0
Cg,Cr,Sr,Tr,Tg,1
Cg,Sg,Sg,Tg,Cr,0
Cg,Sr,Tg,Sg,Sg,0
Tr,Sg,Sg,Sg,Sg,0
Tr,Cr,Cg,Sr,Cg,0
Sg,Sg,Tr,Sg,Tg,1
Sg,Cg,Tg,Cr,Tg,1
Tg,Cg,Sg,Cr,Tg,0
Cg,Tr,Sr,Cr,Sg,1
Cg,Sg,Cg,Tr,Cr,1
Cr,Tg,Cg,Tg,Cg,0
Tr,Sg,Sr,Tr,Tr,1
Tr,Cg,Sr,Tr,Cg,0
Tr,Cg,Tg,Cr,Tg,0
Tg,Tg,Tg,Tr,Tr,1
Tg,Sg,Sg,Cg,Tg,0
Cr,Sr,Tr,Sg,Sr,1
Cg,Cr,Cr,Sg,Sg,1
Cg,Tg,Tg,Sr,Sg,1
Tg,Cg,Cr,Tg,Sg,0
Tr,Tg,Sg,Cg,Sg,1
Cg,Sg,Tg,Cg,Tr,1
Tg,Tg,Cr,Sg,Sg,0
Cr,Sr,Sr,Tr,Tr,1
Cr,Cg,Sg,Sg,Cr,0
Sg,Sr,Tr,Cg,Tr,0
Cr,Tg,Tg,Tr,Tg,0
Sg,Cr,Cg,Sg,Sg,0
Cr,Tr,Sr,Sg,Sr,1
Sg,Tr,Tr,Tg,Sg,1
Sg,Sg,Sr,Sg,Tg,1
Tg,Tr,Tg,Tr,Cg,1
Sg,Sg,Cg,Sg,Sr,0
Tr,Cr,Cr,Sr,Tg,1
Sg,Tg,Tr,Tr,Sg,1
Sr,Cg,Tr,Cg,Cg,0
Cr,Sg,Tg,Sg,Tr,1
Tr,Sr,Cg,Tr,Tg,0
Sr,Sr,Sg,Tg,Sg,0
Cg,Sg,Sg,Cg,Tr,0
Cr,Sg,Cr,Tr,Tr,1
Cg,Sg,Cg,Cr,Sg,1
Sr,Sr,Sr,Sg,Tg,0
Cg,Cr,Tr,Sg,Sg,1
Cg,Tg,Tr,Cg,Cg,0
Sg,Cr,Sr,Cg,Tr,1
Cr,Sr,Cr,Tr,Tg,1
Tg,Cr,Sr,Tg,Cg,0
Cr,Sr,Sg,Sr,Cr,0
Tg,Cg,Tg,Tr,Sr,1
Tr,Tr,Cr,Tr,Cg,1
Cg,Tg,Cr,Cg,Cg,1
Cg,Tg,Cr,Sg,Tg,1
Tg,Tg,Sr,Sr,Tg,1
Sr,Tr,Sr,Sr,Sr,0
Sr,Sg,Sg,Sr,Sr,0
Cr,Sr,Cg,Sr,Tg,1
Tg,Sr,Sg,Tr,Tr,0
Tg,Tg,Sr,Cg,Sr,0
Sr,Tr,Sr,Sg,Tg,0
Tr,Tr,Cr,Cr,Sr,0
Tr,Sg,Sg,Sg,Sg,0
Sr,Sr,Tr,Cg,Cr,1
Sr,Cg,Cg,Sr,Cr,0
Sr,Cr,Tg,Tg,Cr,1
Tg,Tr,Sg,Sr,Cr,0
Tr,Cr,Sg,Cr,Tg,0
Sr,Tr,Cr,Tg,Cg,0
Tr,Sg,Tg,Sr,Tr,1
Tg,Sr,Tr,Tg,Sg,1
Sr,Cr,Sr,Tr,Tr,1
Tr,Tr,Cr,Sr,Cg,0
Tr,Tg,Sr,Sg,Sg,1
Tr,Tg,Cr,Sg,Tr,1
Tr,Sr,Sg,Cr,Tg,0
Cr,Cr,Cg,Cg,Tg,0
Cg,Sr,Tr,Tr,Tr,1
Sr,Sg,Sg,Sr,Sr,0
Cr,Sr,Cg,Sr,Sr,1
Tr,Tg,Tr,Tr,Sr,0
Cr,Tg,Sg,Sg,Sr,0
Cg,Sr,Cg,Sg,Tr,0
Sr,Sg,Cg,Sg,Sr,0
Tr,Cr,Cg,Cr,Tr,0
Tr,Cr,Tr,Cg,Cg,1
Sg,Cg,Sg,Cg,Tr,0
Tr,Tr,Cg,Tr,Cr,0
Tg,Tg,Tg,Sr,Cr,1
Cg,Sr,Sr,Cg,Sg,0
Cg,Cg,Cr,Tr,Tg,0
Cr,Sg,Cg,Tg,Sg,1
Tr,Sr,Tg,Cr,Sg,1
Sg,Tr,Sg,Sr,Tr,0
Sr,Cr,Cg,Cg,Tg,1
Tr,Tg,Sg,Cg,Cg,1
Sg,Cr,Sr,Sg,Sg,0
Cg,Cr,Sg,Tg,Tr,0
Tr,Cr,Cg,Cg,Sr,0
Sr,Tr,Sr,Sr,Cg,0
Cg,Sg,Sr,Sg,Cg,1
Sg,Cr,Sr,Sr,Tr,1
Tr,Sg,Cr,Sg,Tr,0
Cg,Cg,Tr,Tg,Cr,1
Cr,Cr,Sr,Tr,Cg,0
Tg,Tr,Sr,Cg,Tg,0
Tr,Cr,Cg,Sg,Cg,1
Tg,Cg,Cr,Cr,Tr,1
Tg,Cg,Cg,Tg,Cg,0
Tg,Sg,Sg,Tg,Cg,1
Tr,Cg,Cr,Tr,Sr,1
Tr,Cr,Sr,Tr,Sr,0
Tr,Tr,Tg,Tr,Tr,0
Tr,Tr,Sg,Cg,Sr,0
Sr,Cr,Cr,Cg,Tr,1
Cg,Cr,Sg,Tg,Cr,0
Cg,Sg,Cr,Sr,Tg,0
Tg,Sr,Cr,Tr,Tg,0
Cr,Cr,Tr,Tr,Sg,0
Sr,Cr,Tg,Cg,Tr,0
Sr,Tg,Tr,Tg,Cg,1
Tg,Sr,Sg,Cg,Sr,1
Tg,Sr,Sr,Cg,Cr,0
