code,model_type,val_accuracy,test_accuracy,sota_accuracy,difference
ZOBKB,rf,46.0,45.5,95.2,-49.7
ZOBKB,gb,57.99999999999999,47.5,95.2,-47.7
ZOBKB,lr,51.0,53.5,95.2,-41.7
NUFES,rf,43.0,47.0,94.8,-47.8
NUFES,gb,38.0,47.0,94.8,-47.8
NUFES,lr,40.0,53.0,94.8,-41.8
FDLOT,rf,59.0,45.5,60.4,-14.899999999999999
FDLOT,gb,62.0,45.5,60.4,-14.899999999999999
FDLOT,lr,52.0,45.0,60.4,-15.399999999999999
GAPFD,rf,91.0,88.5,62.6,25.9
GAPFD,gb,68.0,72.0,62.6,9.399999999999999
GAPFD,lr,52.0,50.5,62.6,-12.100000000000001
