accession_norm,accession_variants,title,year_note,year,sources,duplicate_count,era
X100,X-100; X 100; x_100; X100,"Vase, Han style",listed as 200BC in card,-200.0,"Batch A, Batch B",5,Other/Unknown
M205,M-205; M205; M 205,Landscape handscroll,dated 1752 in ledger,1752.0,"Batch A, Batch B",4,Other/Unknown
T088,T88; T-088; T088,Bronze mirror,Tang; 618-907 range on card,750.0,"Batch A, Batch B",3,Tang Dynasty
P401,P401; P-401,Robe fragment,late 19th c; silk,1850.0,"Batch A, Batch B",3,Other/Unknown
K012,K12; K-012,Stone Bodhisattva,Northern Qi style; year unclear,550.0,"Batch A, Batch B",4,Northern Qi
R500,R500; R-500,Celadon dish,Song; Longquan type,1100.0,"Batch A, Batch B",3,Song Dynasty
D077,D77; D-077,Lacquer box,Edo; 17th c,1650.0,"Batch A, Batch B",3,Edo Period
N300,N300; N-300,Inkstone,Ming; Wanli reign mentioned,1590.0,"Batch A, Batch B",3,Ming Dynasty
B044,B44; B-044,Porcelain figure,Kangxi period,-200.0,"Batch A, Batch B",3,Other/Unknown
C901,C901; C-901,Silver hairpin,Republic era; 1920s,1925.0,"Batch A, Batch B",3,Republic Era
H222,H222; H-222,Ewer,Islamic metalwork; 12th c,1150.0,"Batch A, Batch B",3,Islamic
J150,J150; J-150,Wood printing block,Qing; 19th c,1850.0,"Batch A, Batch B",3,Qing Dynasty
L600,L600; L-600,Snuff bottle,Qianlong style,1750.0,"Batch A, Batch B",3,Other/Unknown
G333,G333; G-333,Jade pendant,Warring States style,-300.0,"Batch A, Batch B",3,Warring States
F888,F888; F-888,Cloisonne vase,19th c export,1850.0,"Batch A, Batch B",3,Other/Unknown
A001,A001; A-001,Rubbing,20th c copy of stele,1950.0,"Batch A, Batch B",3,Other/Unknown
Z999,Z999; Z-999,Replica vase,marked reproduction 1998,1998.0,"Batch A, Batch B",3,Other/Unknown
T88X,T88x,Bronze mirror (typo id),should match T88,,Batch B,1,Other/Unknown
S400,S400; S-400,Snuff dish,not in batch A; 1880,1880.0,Batch B,2,Other/Unknown
W700,W700; W-700,Bronze bell,Ming; 15th c,1450.0,Batch B,2,Ming Dynasty
Y050,Y050; Y-050,Glass bead strand,Han,-100.0,Batch B,2,Han Dynasty
Q120,Q120; Q-120,Iron sword,Warring States,-300.0,Batch B,2,Warring States
V303,V303; V-303,Gilt bronze fitting,Tang,750.0,Batch B,2,Tang Dynasty
U808,U808; U-808,Stoneware jar,Five Dynasties,950.0,Batch B,2,Five Dynasties
E505,E505; E-505,Painting album leaf,19th c,1850.0,Batch B,2,Other/Unknown
