token_0,token_1,token_2,token_3,token_4,label
Cg,Tr,Tr,Sr,Sr,1
Cg,Tr,Tg,Tr,Sr,1
Sr,Cg,Cr,Cr,Sg,1
Cg,Sr,Cg,Sg,Tg,0
Sg,Cg,Cr,Cg,Tr,1
Cg,Cg,Sr,Cg,Tg,1
Sg,Cg,Sg,Sg,Tg,0
Cr,Sr,Cr,Cg,Cg,0
Tg,Tr,Cr,Tg,Cg,0
Tr,Tg,Sg,Cg,Cg,1
Sg,Sr,Sr,Cr,Sg,0
Sg,Sg,Sr,Sg,Cg,1
Cr,Tg,Cr,Sr,Sg,0
Cg,Sr,Cr,Sg,Sr,0
Tr,Tr,Sr,Tr,Tg,0
Tr,Tr,Cr,Tg,Tg,0
Sg,Cr,Tg,Cr,Tr,1
Tr,Tr,Cr,Sg,Sr,0
Sg,Cg,Cg,Tr,Sg,1
Sr,Sr,Tg,Tg,Cr,1
Cr,Cg,Tg,Sg,Tg,1
Sr,Cg,Tr,Sr,Sg,1
Tr,Tr,Tr,Tg,Tg,0
Sr,Tg,Sg,Cr,Sg,0
Sg,Tr,Tg,Sg,Sg,1
Cr,Tr,Cr,Cr,Tr,1
Cr,Cr,Cg,Tg,Tr,1
Sg,Tr,Sg,Sg,Tr,1
Sr,Tg,Sr,Sg,Cr,0
Tg,Cg,Cr,Sg,Sg,1
Cr,Sg,Cg,Tg,Cr,0
Sr,Sg,Sr,Sg,Sg,0
Cr,Cr,Tg,Tg,Sg,1
Cg,Cg,Tg,Cr,Sg,1
Tg,Cg,Tg,Cr,Sg,1
Tr,Tg,Sg,Sg,Cr,1
Sg,Tr,Tr,Cg,Tg,0
Cr,Sr,Tg,Tg,Tg,0
Sg,Cr,Sg,Sr,Sr,0
Sg,Sg,Cr,Tg,Cg,1
Cg,Sr,Sr,Cg,Sg,1
Tr,Tg,Tr,Cr,Cr,0
Tg,Sg,Tr,Tg,Cr,0
Cr,Tg,Tg,Cr,Sr,0
Tr,Tg,Sr,Cg,Sr,1
Sr,Sg,Sg,Tg,Tr,0
Cg,Sg,Sr,Tr,Sg,1
Tr,Sg,Cg,Cr,Tg,0
Sg,Cg,Tg,Sg,Sg,0
Cg,Cr,Cr,Cg,Cg,0
Tg,Sr,Cr,Cg,Cg,1
Cr,Sg,Cr,Cg,Tr,0
Sr,Sg,Sg,Cg,Tg,1
Cr,Tr,Sg,Sg,Sg,0
Tg,Tg,Tr,Cr,Sr,0
Cg,Tr,Tr,Sr,Cr,0
Cr,Tg,Cg,Sr,Cr,1
Sr,Cg,Tg,Tg,Cr,1
Cr,Tg,Cg,Tg,Sr,0
Cg,Sr,Sg,Cr,Cg,0
Sg,Tg,Cr,Sr,Tg,1
Cr,Tg,Cg,Cg,Sr,1
Tg,Tr,Cg,Sr,Tg,1
Sg,Tr,Sr,Tr,Cg,1
Sr,Sg,Cr,Cg,Sr,0
Tg,Tg,Tg,Tr,Sg,1
Cg,Tr,Cg,Cg,Sg,0
Sg,Cr,Tg,Cr,Cg,0
Tg,Sr,Tg,Sr,Tg,1
Cr,Tg,Cr,Cr,Tg,1
Cg,Tg,Tg,Tg,Cg,1
Cg,Cr,Cr,Sr,Tr,0
Tr,Tg,Tr,Tg,Cg,0
Sg,Tg,Sr,Cr,Cg,1
Tr,Tr,Cg,Cg,Cr,1
Cr,Tr,Cg,Sg,Tg,0
Sr,Sr,Sg,Sr,Cr,1
Cg,Tg,Tg,Tr,Tg,1
Sg,Tg,Cr,Cg,Sg,1
Tg,Sr,Tr,Sr,Tr,1
Sr,Tr,Tg,Cg,Sg,0
Cr,Tr,Sr,Sg,Tr,0
Tr,Tg,Tg,Tg,Tr,0
Sg,Cg,Sr,Cg,Sr,1
Tr,Cg,Sg,Tg,Cr,0
Sr,Tg,Cg,Cg,Sr,1
Sg,Sr,Cg,Tr,Sr,0
Cg,Sg,Tg,Cg,Tg,0
Tr,Tr,Cg,Cg,Cr,1
Tr,Cg,Sg,Cr,Tg,0
Sr,Sr,Cr,Cg,Cr,1
Tg,Sr,Cg,Tr,Tg,1
Cg,Cg,Tr,Cg,Tg,0
Cr,Tr,Cg,Tg,Sr,0
Sr,Sg,Sr,Cg,Sr,1
Tr,Sr,Sg,Cr,Cg,0
Cg,Cg,Tr,Cg,Sg,1
Sr,Tg,Cr,Tr,Tg,1
Sg,Tr,Tg,Sg,Cr,1
Cr,Sr,Tg,Tr,Cr,1
Tr,Tr,Cg,Sg,Sg,1
Tg,Tr,Sr,Cg,Cr,1
Cr,Tg,Sg,Sr,Cr,0
Tg,Sr,Cr,Cg,Sr,1
Sg,Sg,Tr,Sr,Tg,0
Cg,Tr,Cr,Cg,Sr,1
Tr,Sg,Tr,Sg,Cr,0
Cg,Tg,Tg,Cg,Tr,1
Cr,Cr,Tr,Sr,Cg,0
Sg,Tr,Sr,Cr,Cr,0
Sg,Cg,Sg,Sg,Tg,0
Cr,Tr,Tg,Cg,Cr,0
Sg,Tr,Sr,Tr,Sg,1
Sg,Tr,Tr,Sg,Tg,0
Sr,Tr,Cg,Tr,Sr,1
Cg,Tg,Tg,Cr,Sg,1
Sr,Sr,Cg,Cg,Sg,1
Tg,Tg,Cr,Tg,Tr,0
Cg,Tg,Cg,Tg,Tg,0
Tr,Tr,Sg,Sr,Cg,1
Cr,Sg,Tr,Cr,Tr,1
Sr,Cg,Cr,Tr,Sr,1
Sr,Tg,Tg,Tr,Sr,0
Sg,Sr,Sr,Sg,Sg,1
Cg,Cr,Tr,Cg,Sr,0
Cr,Cr,Cg,Sg,Sr,0
Tg,Tg,Cg,Tg,Cr,1
Cg,Cg,Cr,Sg,Tg,1
Tr,Cg,Sr,Cr,Cr,1
Sg,Sg,Tg,Tg,Cr,1
Sg,Sr,Tr,Tg,Cg,0
Tr,Tr,Tr,Tr,Tg,0
Cr,Tg,Cr,Sr,Cg,0
Tr,Sg,Cg,Cr,Cg,0
Sr,Tr,Cr,Sg,Cg,0
Sr,Sg,Sr,Cg,Sg,1
Cr,Sg,Sr,Tr,Cr,1
Cg,Tr,Tg,Sg,Sr,0
Sg,Tr,Cr,Cr,Sg,1
Sr,Sg,Cr,Tr,Sr,1
Tg,Sg,Cr,Tr,Cg,1
Sr,Tr,Cr,Sr,Cg,1
Sg,Cr,Sr,Sr,Tr,1
Cr,Sr,Tg,Cg,Cg,0
Tg,Tr,Sr,Tr,Cr,0
Tg,Cr,Cg,Tr,Sg,1
Tg,Sg,Cg,Tr,Cr,0
Cr,Sr,Tg,Sg,Cr,0
Sr,Sg,Tr,Sr,Tg,0
Tg,Tr,Cg,Cg,Tg,1
Sr,Cg,Cr,Tg,Tg,0
Cr,Sg,Tr,Tr,Cg,0
Sg,Tr,Cg,Sr,Cr,0
Tr,Tg,Sg,Tr,Tg,0
Tr,Tg,Tg,Sg,Cg,0
Sg,Tg,Tr,Sr,Tg,1
Tr,Cr,Tr,Sg,Sr,1
Tr,Sg,Cr,Cg,Tr,0
Cr,Sg,Cg,Tg,Sr,1
Tr,Sr,Cr,Tr,Sr,1
Tg,Sg,Sg,Cg,Cr,0
Cg,Tr,Sr,Sg,Sg,1
Cr,Sg,Tg,Sr,Sr,1
Sr,Cr,Sr,Sg,Cr,1
Tg,Cg,Sg,Sg,Sr,0
Cr,Tg,Cg,Tr,Tg,1
Cg,Sr,Tr,Sr,Sr,0
Tr,Tr,Cr,Tr,Tr,1
Tr,Cg,Sr,Tg,Sr,1
Tg,Tg,Sg,Sg,Cg,0
Cr,Tr,Sg,Cr,Cr,0
Cg,Tg,Tg,Cr,Cg,1
Sg,Sg,Sg,Sg,Tr,1
Cr,Tg,Tg,Sr,Cr,0
Cg,Sr,Tg,Cg,Tg,1
Cg,Tr,Sr,Tg,Cg,1
Cg,Cg,Tg,Cr,Tg,1
Cg,Cg,Cr,Tr,Sg,1
Cr,Sr,Sr,Cr,Tg,0
Cr,Sr,Sg,Sg,Cg,0
Tr,Tr,Sg,Cr,Sg,0
Sr,Tr,Cg,Cr,Cr,1
Tr,Sr,Sr,Sg,Tr,0
Tg,Tg,Cg,Tr,Tr,0
Cr,Tr,Tg,Sr,Sg,0
Sg,Tg,Cr,Tg,Tr,0
Sr,Cr,Sg,Cr,Cr,0
Sr,Cg,Sg,Sg,Sg,0
Sg,Cg,Sr,Tr,Sg,0
Tg,Cr,Tr,Cg,Cg,1
Sr,Cr,Sr,Cg,Sg,1
Cg,Tg,Sg,Tr,Tr,1
Cr,Sg,Tr,Sr,Sg,0
Cr,Sr,Tg,Cr,Sg,0
Tr,Sr,Sg,Cg,Sg,1
Sg,Tg,Tg,Cr,Sg,1
Sg,Tr,Cr,Sr,Cg,0
Cg,Sr,Tg,Cr,Cg,0
Sr,Sr,Sr,Cr,Sr,0
Sr,Tr,Cg,Sr,Tr,0
Cg,Cr,Sr,Cr,Cg,0
Cr,Cr,Tg,Tr,Cg,0
Cg,Cg,Tg,Cg,Cg,0
Tg,Sr,Cg,Cr,Tr,0
Cg,Cg,Sg,Cg,Cr,0
Sg,Tg,Sg,Sg,Cg,0
Tg,Sr,Sg,Cr,Cr,0
Tg,Tg,Tg,Tr,Cg,1
Tr,Cg,Sg,Sg,Cr,0
Cr,Sg,Sg,Tr,Sr,0
Cr,Sr,Sg,Tg,Tr,0
Cg,Cr,Cg,Tr,Sr,1
Tg,Cg,Tr,Tg,Cg,0
Sr,Tr,Cr,Cr,Sg,0
Tr,Cr,Sr,Sr,Sr,0
Tg,Tg,Cr,Tr,Sr,1
Cr,Tr,Cr,Cr,Cr,1
Tg,Tg,Tr,Cg,Cr,0
Cg,Sg,Cg,Tg,Cr,0
Cg,Tg,Tr,Cg,Tr,1
Tr,Tr,Cg,Cg,Sr,0
Tr,Tr,Cg,Tr,Cr,1
Tg,Tr,Sr,Tr,Cr,0
Cg,Sg,Cr,Cg,Tr,0
Tg,Sr,Cg,Tg,Sg,0
Sg,Sg,Cr,Tr,Sg,1
Cr,Tr,Tg,Sr,Cr,1
Cr,Tg,Tg,Sr,Tg,0
Sg,Tg,Sg,Sg,Cr,0
Tr,Sr,Sg,Tg,Cr,1
Cr,Cg,Tr,Sg,Cg,0
Cr,Cr,Sr,Tg,Cg,0
Cr,Tr,Cg,Sr,Tr,0
Cr,Sg,Sr,Tr,Sr,0
Cg,Sr,Sg,Tg,Sr,0
Tg,Sr,Sg,Tg,Cg,0
Cr,Tr,Cg,Tr,Sr,0
Sr,Tg,Cr,Sr,Tg,0
Tg,Tr,Sg,Tg,Sg,0
Cr,Sr,Cr,Sg,Sr,1
Cg,Sg,Tg,Tr,Cg,1
Sg,Tg,Cr,Cr,Sr,0
Tr,Cg,Cr,Cr,Sg,0
Sg,Sr,Cg,Cg,Tr,0
Sg,Tr,Cr,Cg,Sr,0
Sg,Tg,Cg,Tr,Tg,0
Sr,Tr,Tg,Sr,Cr,0
Cr,Cr,Cr,Cr,Sr,1
Sg,Sg,Cg,Cg,Sr,1
Sg,Sg,Cg,Tr,Cr,0
Tr,Cg,Tr,Cg,Cr,1
Sg,Sg,Tg,Sr,Sg,1
Sg,Tg,Sg,Sr,Cr,0
Cr,Tg,Sr,Tr,Tr,1
Cr,Cr,Sg,Tg,Cr,1
Sg,Cg,Cg,Cg,Cg,0
Sg,Tg,Cr,Tg,Sr,0
Cg,Sr,Sg,Tr,Sr,0
Tg,Tg,Cr,Sg,Cg,1
Cg,Sg,Tr,Sg,Sg,1
Sr,Sr,Cg,Tr,Tr,1
Sg,Cr,Tg,Sr,Cr,1
Tr,Tr,Sr,Cr,Sg,0
Cr,Sr,Tg,Tg,Sr,1
Tg,Tr,Tg,Sr,Cg,1
Cg,Cg,Tg,Sg,Sg,1
Tg,Sr,Cg,Sg,Sr,0
Tg,Tg,Cg,Cg,Sg,0
Cg,Sg,Cg,Sg,Cg,1
Tg,Tr,Sr,Tg,Sg,0
Tg,Sg,Tr,Tr,Sg,1
Cr,Sg,Tr,Tg,Sg,0
Cg,Sg,Tg,Tr,Cg,1
Cr,Sr,Tr,Sg,Tr,0
Tg,Sr,Sr,Tg,Tr,0
Cg,Tg,Sr,Tr,Cg,0
Cg,Cr,Tg,Tg,Cr,0
Cr,Cr,Sr,Sr,Sr,0
Cr,Tr,Tr,Sr,Cr,0
Cg,Cr,Sg,Tr,Sr,1
Cr,Cg,Cr,Tg,Cr,1
Cr,Sr,Tr,Tr,Cr,1
Cg,Tg,Tg,Sg,Tr,1
Sr,Tr,Cr,Tr,Cg,1
Sr,Cr,Cg,Cg,Tr,1
Sr,Tg,Tr,Cg,Cg,0
Tg,Tr,Sg,Sr,Sg,1
Sr,Cg,Sr,Tg,Tr,1
Sg,Tg,Tg,Cg,Cg,0
Cr,Cg,Cr,Sg,Cg,0
Cr,Sr,Sr,Tg,Tr,1
Sr,Cr,Cg,Cr,Tg,1
Sg,Cr,Sr,Cr,Sg,1
Sg,Sg,Cr,Tg,Tr,1
Sg,Sr,Sg,Cg,Cr,1
Tr,Cr,Cr,Tr,Sr,0
Tr,Cg,Cg,Cg,Sr,1
Tg,Cg,Tg,Cr,Cr,0
Cr,Sg,Tg,Sg,Sg,1
Cr,Tg,Sg,Tr,Cg,1
Tg,Tr,Sr,Sr,Sr,0
Tg,Sg,Sr,Sg,Tg,1
Tr,Cr,Cr,Sg,Sr,1
Cr,Sr,Sg,Cr,Cg,0
Tr,Cr,Tg,Tg,Tr,1
Tr,Sr,Sg,Sr,Tg,1
Cg,Tr,Cg,Tr,Tr,1
Sg,Cg,Cg,Tr,Tg,0
Sr,Tr,Cg,Tr,Sr,1
Cg,Tg,Cr,Cr,Cr,0
Tr,Sr,Tr,Cg,Cr,0
Cg,Tr,Tg,Tg,Cr,1
Cr,Tr,Sg,Tr,Sr,0
Cr,Tg,Sg,Tg,Cr,0
Sg,Tr,Cr,Sr,Sr,1
Cg,Tr,Sg,Sr,Sr,0
Tg,Tr,Tg,Cg,Tr,1
Cg,Cr,Tg,Sg,Sg,0
Cr,Tg,Cr,Tr,Sg,0
Sg,Sr,Sr,Tg,Cr,0
Sg,Tg,Tg,Sg,Cg,0
Sg,Cg,Sg,Tr,Tg,1
Sg,Tr,Sg,Cg,Sg,0
Cr,Tr,Tr,Tg,Sr,1
Sg,Tr,Cr,Tg,Cr,0
Sg,Cr,Tg,Tg,Sr,1
Tr,Cr,Sr,Tg,Cr,0
Sr,Cg,Cg,Tg,Tg,1
Sg,Cg,Cr,Tg,Cr,0
Sg,Sr,Tg,Cr,Cr,1
Sr,Tg,Cr,Cg,Tr,0
Cg,Tr,Tg,Tr,Tr,1
Cg,Cg,Cg,Cg,Tr,1
Tr,Sr,Cr,Tg,Tg,1
Cr,Sr,Sr,Tg,Tg,0
Cr,Sg,Sr,Cg,Cr,0
Tr,Sr,Cg,Tr,Sg,0
Sg,Sg,Sg,Cr,Cr,1
Sg,Sr,Tg,Sg,Sr,1
Cr,Sg,Sr,Sg,Tg,1
Tg,Tg,Tr,Tr,Sr,1
Sg,Cg,Tg,Tg,Cg,0
Sr,Tr,Cr,Tr,Cg,1
Cg,Cg,Tg,Cr,Sg,1
Sr,Sr,Sr,Sg,Tg,0
Cr,Tr,Sg,Cg,Sr,0
Sg,Cg,Sr,Sg,Sr,1
Cr,Tr,Tr,Cr,Tr,1
Sg,Tg,Tr,Cr,Tg,1
Sg,Cg,Sg,Cg,Sg,1
Tg,Tg,Cg,Tr,Tg,0
Sg,Sr,Sr,Tg,Sr,0
Tr,Cg,Tr,Tr,Sr,0
Cr,Cr,Cg,Cr,Sg,0
Cg,Sr,Tg,Sg,Cg,1
Sg,Cr,Tg,Cg,Sg,1
Cr,Cr,Sr,Cr,Tr,0
Tg,Sr,Cr,Tg,Sr,1
Tg,Tr,Cr,Tr,Sr,0
Sg,Sg,Cr,Sg,Sg,1
Tg,Sg,Sr,Tg,Sr,0
Cr,Sg,Cr,Tr,Sr,0
Sg,Tg,Tg,Tg,Tr,1
Sg,Cg,Cg,Cg,Sr,0
Cg,Tr,Cg,Tg,Sr,1
Cr,Tr,Cg,Sg,Tg,0
Cg,Tg,Sg,Tg,Tr,0
Cg,Sr,Sr,Cr,Sg,1
Cg,Cg,Tr,Cr,Cg,1
Cg,Tg,Cg,Tr,Cr,1
Cr,Cg,Sg,Sg,Tr,0
Sr,Cr,Sg,Cg,Sg,1
Sg,Cr,Sr,Cr,Cg,0
Cg,Tg,Tg,Cg,Sg,1
Tr,Tg,Tr,Tr,Cr,1
Sr,Cg,Sg,Sg,Tg,0
Cr,Cg,Tr,Tg,Sg,1
Tg,Sg,Cg,Tg,Cg,0
Cr,Sg,Cg,Cg,Tr,0
Sr,Tg,Sg,Tg,Tg,1
Cr,Cr,Sg,Cr,Cg,0
Sg,Sg,Tr,Cr,Tr,1
Sg,Cr,Cg,Cr,Cg,0
Tg,Cg,Tr,Sr,Cr,1
Tr,Cg,Cr,Cg,Sg,1
Tr,Tr,Cg,Tg,Sr,1
Cr,Cr,Sg,Sg,Tg,1
Cr,Sr,Sg,Cg,Sr,0
Tg,Tg,Tg,Sr,Tg,1
Sr,Cr,Sr,Sg,Sr,1
Tr,Tr,Cr,Cg,Tr,0
Tg,Cg,Cg,Sr,Cg,1
Cg,Sg,Tg,Tg,Sr,0
Tg,Sr,Cg,Tr,Tr,1
Tr,Tg,Sg,Sr,Cr,1
Tg,Tr,Tr,Sr,Cr,1
Tr,Tg,Tg,Sr,Cr,0
Tr,Sr,Cr,Sr,Cg,0
Tg,Sr,Tg,Cr,Sg,1
Sr,Cr,Sr,Sr,Cr,0
