token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,label
Sy,Sb,Ty,Tg,Sy,Tb,Sb,Sy,Tg,Sr,0
Sb,Sg,Sb,Tb,Ty,Tb,Sb,Tr,Tr,Sg,0
Sg,Tb,Tr,Tb,Tb,Sb,Sy,Tg,Ty,Tr,1
Sb,Tr,Sy,Sb,Ty,Sr,Ty,Sg,Sg,Sr,0
Ty,Tb,Sb,Tb,Sg,Tr,Ty,Sr,Tg,Ty,0
Sg,Sy,Tg,Sy,Sg,Tr,Ty,Sy,Tr,Ty,1
Sb,Tb,Tg,Ty,Tb,Ty,Ty,Tr,Tg,Tg,1
Ty,Sr,Tr,Tr,Sg,Tg,Tr,Ty,Tb,Sb,1
Sg,Sg,Tb,Tr,Ty,Sy,Sr,Ty,Sy,Tg,0
Ty,Sy,Tr,Tg,Tr,Sb,Ty,Tg,Tb,Sg,0
Tb,Tb,Tg,Tr,Tb,Tg,Ty,Sg,Tg,Sg,0
Tr,Tg,Ty,Sr,Sg,Tr,Tr,Sr,Sr,Tb,1
Tr,Sy,Sy,Tr,Sg,Sy,Sy,Tb,Sr,Tg,0
Sg,Sy,Tb,Sy,Sy,Tr,Sy,Ty,Sb,Tr,0
Tb,Sg,Sr,Tg,Tb,Sy,Sy,Sy,Sg,Sg,0
Ty,Ty,Sr,Ty,Tg,Sg,Tg,Sy,Ty,Sg,0
Sb,Tg,Sy,Tg,Sy,Ty,Sb,Sg,Tb,Sg,1
Sb,Ty,Tb,Tg,Sg,Ty,Tg,Tb,Tr,Sg,0
Sy,Sy,Sb,Tg,Ty,Sg,Tr,Sy,Tg,Sb,0
Tb,Sg,Tr,Sr,Sy,Sr,Sb,Tg,Sr,Tb,0
Tg,Sg,Tg,Sr,Sg,Sr,Sg,Sr,Tr,Ty,0
Sy,Tb,Ty,Sy,Sb,Sb,Sy,Ty,Sg,Sy,1
Sb,Sb,Tb,Tb,Tb,Tr,Tg,Tr,Tb,Tb,0
Ty,Sg,Tb,Sy,Tr,Sy,Tr,Tg,Tr,Tb,1
Sy,Sr,Sg,Sg,Tg,Tg,Sy,Sb,Tg,Tr,1
Tr,Tg,Sy,Sg,Ty,Sb,Ty,Sy,Tr,Tr,1
Sg,Tb,Tr,Sr,Sy,Sr,Sg,Tr,Sb,Tr,1
Ty,Sg,Sr,Sy,Sg,Sb,Tr,Tg,Tb,Sb,0
Tb,Sy,Sy,Sy,Sg,Tg,Sg,Tg,Sb,Sy,0
Ty,Sg,Sb,Tg,Ty,Tr,Tr,Ty,Sb,Sr,1
Tg,Sg,Sy,Sr,Ty,Sr,Sg,Tr,Sb,Tb,0
Sy,Sb,Tg,Sy,Ty,Sg,Sb,Ty,Tr,Tb,1
Sg,Tb,Sg,Sb,Sr,Sg,Sg,Sg,Tg,Tr,0
Sg,Sr,Sb,Sb,Sb,Tg,Tg,Tg,Tr,Tr,1
Tr,Tb,Sr,Sy,Tg,Sb,Sy,Tg,Tb,Sb,0
Tg,Tg,Sb,Ty,Ty,Tb,Tb,Tg,Sg,Sr,0
Sy,Sy,Ty,Sr,Sb,Tg,Tg,Sb,Sb,Sg,0
Tr,Sy,Sr,Sy,Sg,Tb,Tb,Sr,Sg,Tg,1
Sg,Sy,Sb,Sg,Tb,Sb,Sb,Sb,Sb,Sr,0
Tr,Sy,Sg,Tg,Ty,Ty,Tb,Sg,Tg,Ty,0
Tr,Tg,Ty,Tb,Sr,Sg,Sg,Sg,Sr,Sr,0
Tg,Tb,Sb,Sy,Ty,Sy,Sb,Tg,Tg,Tb,0
Sr,Ty,Tg,Ty,Ty,Ty,Tg,Tr,Tg,Tg,0
Tr,Sy,Sr,Sb,Sg,Sy,Sy,Sy,Sr,Tg,1
Sr,Sr,Ty,Sy,Sr,Sy,Sg,Sr,Tg,Tr,0
Ty,Ty,Tr,Tb,Tg,Tb,Sy,Tg,Tb,Sg,1
Tg,Tg,Sb,Tg,Sg,Sr,Sy,Sy,Ty,Sr,0
Sb,Tr,Tb,Tb,Sy,Sy,Sb,Sg,Sb,Tr,1
Sb,Ty,Tg,Tr,Sb,Tr,Ty,Sy,Tr,Tg,1
Sr,Tr,Sy,Sy,Tb,Ty,Sy,Tg,Tb,Tb,0
Sg,Ty,Tb,Sb,Tb,Tr,Tb,Tb,Sy,Tg,0
Sb,Sr,Sb,Tg,Tb,Sb,Sr,Ty,Ty,Sg,1
Sy,Tr,Tr,Sr,Sy,Sb,Ty,Sy,Sy,Tg,0
Sy,Tr,Sb,Tr,Sy,Tg,Tg,Sy,Sy,Tr,1
Tg,Tr,Sb,Tg,Sr,Tr,Sb,Ty,Ty,Ty,1
Sy,Ty,Tb,Sg,Sr,Sg,Sg,Tb,Tb,Sb,0
Ty,Sr,Sy,Tb,Sy,Tr,Ty,Tg,Sb,Tb,0
Tb,Sr,Tr,Sy,Sr,Tb,Sb,Sr,Sr,Ty,1
Sy,Sy,Ty,Sg,Tb,Tr,Sb,Sg,Tr,Sb,1
Sg,Tb,Sr,Tg,Ty,Tg,Tb,Sg,Sy,Sy,0
Sb,Tg,Tb,Tr,Ty,Tb,Tg,Sr,Tr,Tg,1
Sb,Sy,Tb,Sg,Ty,Ty,Sr,Tr,Sb,Tg,0
Tg,Tr,Sg,Tr,Sy,Sr,Tg,Sr,Sy,Ty,1
Tg,Ty,Sr,Sb,Sg,Sg,Sr,Tg,Sr,Tg,1
Tr,Sb,Sy,Sy,Tr,Ty,Tb,Sb,Sr,Sy,0
Tr,Sg,Tb,Tg,Ty,Tg,Tb,Tg,Tb,Sg,0
Sy,Sr,Tg,Tb,Tr,Tg,Sb,Ty,Sb,Sy,1
Sr,Ty,Tg,Tg,Sb,Tb,Tr,Sg,Sb,Tg,0
Tb,Sy,Sr,Tb,Tg,Tg,Tb,Ty,Sg,Sy,1
Sy,Tr,Tr,Sr,Ty,Ty,Sr,Tr,Sr,Sr,1
Sg,Sr,Tg,Sg,Ty,Tg,Tg,Tb,Sb,Sr,0
Sr,Tr,Sr,Sr,Sr,Sr,Tr,Sb,Sy,Tr,1
Tg,Tr,Sg,Ty,Sg,Tr,Ty,Tr,Ty,Sy,0
Sy,Sy,Tg,Tr,Tb,Tr,Sb,Ty,Sb,Sr,0
Tg,Sr,Ty,Sy,Sb,Tg,Tb,Ty,Sy,Sg,0
Ty,Sb,Tg,Sr,Tr,Tg,Tg,Tg,Sy,Tr,0
Sr,Sg,Sb,Ty,Tb,Tb,Sy,Tb,Sb,Sy,0
Tb,Sr,Tb,Tg,Sb,Sr,Sy,Sb,Sb,Sg,0
Tr,Tb,Tr,Sb,Sy,Tb,Ty,Tr,Tr,Tg,1
Sy,Tg,Sr,Tg,Tg,Sr,Sr,Sb,Sy,Sr,1
Sy,Sb,Sg,Tb,Tg,Sg,Sg,Sy,Sr,Sr,0
Sy,Sy,Sg,Sr,Sy,Sy,Tr,Ty,Sy,Tg,1
Sb,Ty,Ty,Ty,Sb,Sg,Tr,Tg,Sr,Sy,1
Tr,Sb,Sr,Tr,Ty,Sb,Ty,Sb,Sr,Sy,1
Tb,Ty,Tb,Sg,Sg,Ty,Ty,Sb,Sb,Tb,0
Tb,Tb,Tb,Tb,Sg,Tr,Tr,Sb,Sr,Sr,0
Sy,Sr,Sg,Sr,Sy,Ty,Tr,Tb,Tb,Tr,0
Tb,Sr,Tb,Sg,Tb,Tb,Tg,Sy,Tg,Tg,0
Sg,Tr,Sb,Tr,Tb,Sg,Sg,Sb,Sr,Tg,1
Ty,Ty,Sr,Sy,Sb,Sb,Sg,Tg,Tr,Tb,1
Sg,Tg,Sr,Tg,Sg,Sy,Sy,Ty,Ty,Ty,1
Tg,Sy,Ty,Sb,Sr,Ty,Tr,Ty,Tg,Sy,1
Tr,Tb,Sy,Tg,Sr,Sr,Sr,Tb,Sy,Ty,1
Tr,Tg,Sy,Sb,Sr,Tg,Tg,Sg,Sy,Sr,0
Ty,Sg,Sy,Sy,Tb,Sb,Tr,Sg,Tb,Sg,0
Ty,Sr,Sb,Sg,Tr,Ty,Sr,Sb,Tb,Tb,1
Ty,Tb,Sr,Ty,Sg,Tb,Tr,Sg,Sb,Ty,1
Sy,Tg,Sr,Tb,Sr,Sr,Tb,Sg,Sb,Sr,1
Sb,Tg,Sb,Sy,Sr,Tr,Ty,Sb,Sy,Tr,1
Sr,Sr,Tr,Tb,Ty,Tb,Sb,Tr,Ty,Tb,0
Sg,Sb,Tg,Ty,Sg,Sr,Tb,Tb,Sb,Ty,1
Ty,Ty,Sg,Tb,Sr,Sg,Tr,Sr,Sg,Sr,0
Ty,Tb,Tr,Ty,Tg,Sr,Tg,Sb,Sg,Sr,0
Tg,Sr,Ty,Tg,Tr,Tr,Sr,Tb,Tb,Tg,1
Sy,Sb,Sy,Tg,Sb,Tr,Sg,Tb,Tg,Sr,1
Sr,Tb,Sg,Sr,Tg,Sr,Tb,Sr,Sy,Tg,0
Sy,Tg,Ty,Ty,Sg,Sy,Ty,Sy,Ty,Tg,0
Sb,Ty,Sb,Ty,Sg,Sy,Tr,Sg,Ty,Tr,1
Sy,Sb,Sy,Sg,Tb,Sr,Sy,Tg,Tr,Tr,0
Tb,Sy,Sb,Ty,Ty,Tr,Tb,Sb,Ty,Sg,1
Tg,Tr,Ty,Sg,Ty,Tb,Tr,Sg,Sy,Sy,0
Tg,Sr,Sg,Sb,Sr,Sg,Ty,Sr,Sb,Sb,1
Sb,Sr,Ty,Tg,Tr,Sr,Ty,Ty,Sy,Tb,1
Ty,Sg,Tr,Sr,Sg,Tr,Sg,Tg,Sg,Sr,1
Ty,Sg,Sg,Sb,Sy,Sg,Tg,Sr,Ty,Sb,0
Tb,Tb,Sb,Tg,Ty,Sy,Tr,Sy,Tg,Sb,0
Tg,Tb,Sb,Sg,Ty,Tg,Sg,Ty,Sr,Sb,0
Ty,Tg,Sy,Sr,Tr,Tr,Tr,Ty,Sr,Sb,0
Sb,Tg,Ty,Tb,Tb,Sg,Sb,Sy,Sr,Ty,0
Tr,Sr,Sy,Tr,Tr,Ty,Sb,Tg,Sg,Tg,1
Sy,Sy,Tg,Sb,Tr,Tb,Sb,Sr,Sr,Sr,1
Sr,Tr,Tg,Sb,Tb,Sb,Sb,Sy,Ty,Tg,0
Sy,Tr,Sb,Sg,Tr,Sb,Sr,Tb,Ty,Sr,0
Sb,Sg,Ty,Sg,Tr,Sg,Tr,Tb,Sy,Sr,1
Ty,Tr,Sr,Sb,Ty,Sr,Sb,Sr,Sb,Tb,0
Sb,Sg,Sb,Tg,Sy,Tg,Tg,Tb,Sb,Tb,0
Sr,Sr,Sr,Sb,Sy,Tr,Sb,Tg,Sr,Sg,1
Sy,Sb,Sr,Sg,Sg,Tr,Sb,Tb,Sb,Sr,1
Tg,Sy,Tb,Tr,Tb,Sb,Sb,Sr,Tb,Sy,0
Sy,Sy,Sg,Ty,Tb,Ty,Sr,Sb,Sy,Tr,0
Tb,Sy,Sr,Tr,Tg,Tg,Ty,Ty,Ty,Tr,0
Ty,Sy,Sr,Tg,Tg,Sr,Ty,Tg,Tr,Sr,1
Ty,Sg,Tg,Tg,Ty,Sr,Ty,Sy,Tr,Ty,1
Sy,Tb,Sg,Sr,Sr,Sr,Tb,Sr,Sb,Tb,1
Ty,Tr,Tr,Ty,Ty,Ty,Sb,Tb,Tr,Sb,0
Tr,Sy,Ty,Sb,Tr,Tb,Ty,Tg,Sg,Ty,0
Sb,Ty,Tr,Sr,Sb,Sy,Tg,Sb,Sb,Ty,0
Sb,Sg,Ty,Sg,Tb,Sb,Sb,Tg,Sb,Sb,0
Tg,Sy,Ty,Tg,Sy,Sg,Tb,Tb,Tr,Sb,0
Ty,Tb,Ty,Ty,Sb,Sy,Ty,Ty,Sg,Tg,0
Ty,Tr,Tg,Sr,Sg,Ty,Tr,Sb,Tr,Sg,1
Sy,Tg,Tr,Sy,Sr,Tg,Tg,Tr,Tg,Sg,0
Sg,Sy,Sr,Ty,Sg,Sb,Ty,Tg,Tb,Tg,1
Sg,Tg,Sb,Sr,Tg,Sy,Sg,Tr,Sr,Sy,1
Tr,Sg,Tr,Sb,Sy,Sb,Ty,Tr,Tb,Sr,1
Tg,Tg,Sy,Sb,Tb,Sy,Tr,Tb,Tr,Tb,1
Tb,Sg,Tr,Ty,Sb,Sg,Tg,Sg,Sy,Ty,1
Sy,Tg,Sb,Tb,Sb,Tr,Tr,Sy,Sb,Sg,0
Tg,Tb,Tr,Tr,Sy,Sb,Sg,Sr,Sb,Ty,1
Tb,Sy,Sy,Tb,Sr,Sr,Ty,Ty,Tb,Sg,1
Sb,Sg,Sb,Sg,Sr,Sg,Sb,Tb,Sy,Tg,0
Ty,Tb,Ty,Tb,Tg,Sr,Tb,Ty,Sr,Sy,0
Tg,Tb,Sy,Sb,Tr,Tg,Tr,Tb,Sb,Sy,1
Sb,Sr,Sb,Sr,Sy,Sr,Sg,Sg,Sr,Ty,0
Tg,Sr,Tg,Tg,Sy,Sg,Sr,Sy,Sr,Sy,0
