accession,object_name,remarks
,,
EXPORT_NOTE,merged from legacy DB,internal
X100,Vase Han,duplicate of batch A X-100
X100 ,Han vase,trailing space test
M205,Handscroll landscape,1752 vs 18th c conflict
T088,Mirror,T88 duplicate
T88x,Bronze mirror (typo id),should match T88
P401,Silk robe frag,1890-1910
K12,Stone figure,550 CE
K12 ,Bodhisattva,dup
R500,Celadon plate,Longquan
D77,Lacquer case,Edo
N300,Inkstone Ming,Wanli
B44,Porcelain statuette,Kangxi
C901,Hairpin,1920s
H222,Brass ewer,12th century
J150,Printing block,19th century
L600,Snuff bottle,Qianlong
G333,Jade ornament,Warring States
F888,Cloisonne,export ware
A001,Paper rubbing,modern
Z999,Reproduction vase,1998
S400,Snuff dish,not in batch A; 1880
S-400,dish snuff,late 19th
W700,Bronze bell,Ming; 15th c
W-700,bell bronze,1400s
Y050,Glass bead strand,Han
Y-050,beads glass,206 BCE-220 CE ref
Q120,Iron sword,Warring States
Q-120,sword iron,400-200 BCE
V303,Gilt bronze fitting,Tang
V-303,fitting gilt,618-907
U808,Stoneware jar,Five Dynasties
U-808,jar stoneware,10th c
E505,Painting album leaf,19th c
E-505,album painting,1800s
FOOTER,row count check,ignore
