token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,label
Cb,Db,Sr,Tr,Tr,Tg,Tr,Dg,Sr,1
Cr,Sb,Db,Tr,Tb,Sr,Sg,Dr,Tr,1
Cg,Tb,Tb,Tg,Sg,Sb,Dg,Cg,Cr,1
Tb,Db,Tg,Dg,Tr,Sb,Cg,Sg,Tg,0
Sb,Tg,Sg,Dg,Db,Cr,Dg,Dr,Db,1
Tb,Dr,Dg,Cb,Dr,Dr,Cg,Cg,Sr,0
Cb,Tg,Dg,Cb,Cr,Tg,Sr,Sg,Db,0
Cb,Tb,Tr,Sb,Cb,Cg,Cg,Dr,Cb,0
Tg,Tr,Sg,Cb,Dg,Sb,Sb,Tr,Tb,1
Sb,Cr,Tg,Sg,Tr,Tb,Sg,Db,Cg,1
Cb,Dr,Cg,Sg,Cb,Dg,Sr,Db,Cr,0
Cb,Sr,Sr,Tg,Tb,Dr,Sb,Tb,Cb,1
Tr,Tb,Sg,Sg,Cg,Tb,Dr,Cb,Sr,0
Sb,Cg,Tb,Cr,Dr,Sg,Dr,Cb,Cr,0
Sg,Db,Cr,Dr,Tb,Dg,Sb,Sr,Cb,1
Cb,Tr,Cb,Dg,Dr,Dg,Dg,Cg,Sg,0
Db,Db,Tg,Tg,Tg,Dr,Tg,Sg,Cr,0
Dr,Dg,Tb,Cb,Dr,Tb,Sg,Sr,Cb,1
Dr,Sg,Tg,Cb,Sb,Dr,Cg,Cg,Sg,0
Tr,Tg,Tg,Tr,Tg,Dg,Sb,Cb,Cr,0
Tg,Sb,Db,Sr,Cr,Sb,Dr,Db,Db,0
Sg,Dg,Sg,Tr,Dr,Cr,Cr,Sr,Db,1
Dr,Tg,Dr,Cr,Sg,Tg,Sb,Cb,Cr,0
Dr,Dr,Tg,Cr,Sr,Sg,Tg,Cb,Tb,0
Cg,Dr,Cg,Tr,Tg,Cg,Cg,Sb,Sr,0
Tg,Cr,Dr,Tg,Cg,Sr,Sr,Dg,Tb,1
Sr,Cb,Cr,Sb,Cg,Sr,Sr,Sb,Dg,0
Cr,Tg,Sr,Sb,Cg,Db,Dr,Sr,Dr,1
Tr,Cr,Tb,Sr,Cb,Sb,Cb,Sr,Cr,0
