accession_raw,title,year_note,source,accession_norm,year_estimate,era,confidence,duplicate_count,sources
A001,Rubbing,20th c copy of stele,Batch_A,A001,1950.0,CE,medium,3,"['Batch_A', 'Batch_B']"
B-044,figurine porcelain,Qing early,Batch_A,B044,1750.0,CE,medium,1,['Batch_A']
B44,Porcelain figure,Kangxi period,Batch_A,B44,1680.0,CE,medium,2,"['Batch_A', 'Batch_B']"
C901,Silver hairpin,Republic era; 1920s,Batch_A,C901,1930.0,CE,medium,3,"['Batch_A', 'Batch_B']"
D-077,box lacquer,Japan; 1600s,Batch_A,D077,16050.0,CE,medium,1,['Batch_A']
D77,Lacquer box,Edo; 17th c,Batch_A,D77,650.0,CE,medium,2,"['Batch_A', 'Batch_B']"
E505,Painting album leaf,19th c,Batch_B,E505,850.0,CE,medium,2,['Batch_B']
EXPORT_NOTE,merged from legacy DB,internal,Batch_B,EXPORTNOTE,,,unknown,1,['Batch_B']
F888,Cloisonne vase,19th c export,Batch_A,F888,850.0,CE,medium,3,"['Batch_A', 'Batch_B']"
G333,Jade pendant,Warring States style,Batch_A,G333,-300.0,BCE,low,3,"['Batch_A', 'Batch_B']"
H222,Ewer,Islamic metalwork; 12th c,Batch_A,H222,1150.0,CE,medium,3,"['Batch_A', 'Batch_B']"
J150,Wood printing block,Qing; 19th c,Batch_A,J150,850.0,CE,medium,3,"['Batch_A', 'Batch_B']"
K-012,Bodhisattva stone,550 CE approx on label,Batch_A,K012,,,unknown,1,['Batch_A']
K12,Stone Bodhisattva,Northern Qi style; year unclear,Batch_A,K12,560.0,CE,medium,3,"['Batch_A', 'Batch_B']"
L600,Snuff bottle,Qianlong style,Batch_A,L600,1760.0,CE,medium,3,"['Batch_A', 'Batch_B']"
M-205,Landscape handscroll,dated 1752 in ledger,Batch_A,M205,1752.0,CE,high,4,"['Batch_A', 'Batch_B']"
N300,Inkstone,Ming; Wanli reign mentioned,Batch_A,N300,1500.0,CE,medium,3,"['Batch_A', 'Batch_B']"
P401,Robe fragment,late 19th c; silk,Batch_A,P401,850.0,CE,medium,3,"['Batch_A', 'Batch_B']"
Q120,Iron sword,Warring States,Batch_B,Q120,-300.0,BCE,low,2,['Batch_B']
R500,Celadon dish,Song; Longquan type,Batch_A,R500,1100.0,CE,medium,3,"['Batch_A', 'Batch_B']"
S400,Snuff dish,not in batch A; 1880,Batch_B,S400,1880.0,CE,high,2,['Batch_B']
T-088,mirror bronze,Tang dynasty per curator,Batch_A,T088,750.0,CE,medium,2,"['Batch_A', 'Batch_B']"
T88,Bronze mirror,Tang; 618-907 range on card,Batch_A,T88,750.0,CE,medium,2,"['Batch_A', 'Batch_B']"
TOTAL_ROWS,system footer,not an object,Batch_A,TOTALROWS,,,unknown,1,['Batch_A']
U-808,jar stoneware,10th c,Batch_B,U808,950.0,CE,medium,2,['Batch_B']
V303,Gilt bronze fitting,Tang,Batch_B,V303,750.0,CE,medium,2,['Batch_B']
W700,Bronze bell,Ming; 15th c,Batch_B,W700,450.0,CE,medium,2,['Batch_B']
X-100,"Vase, Han style",listed as 200BC in card,Batch_A,X100,-200.0,BCE,high,5,"['Batch_A', 'Batch_B']"
Y050,Glass bead strand,Han,Batch_B,Y050,0.0,CE,medium,2,['Batch_B']
Z999,Replica vase,marked reproduction 1998,Batch_A,Z999,1998.0,CE,high,3,"['Batch_A', 'Batch_B']"
