token_0,token_1,token_2,token_3,token_4,label
Tr,Cg,Cg,Cr,Tg,1
Tr,Cg,Sg,Cr,Tg,1
Cr,Sg,Sg,Cg,Tg,1
Cr,Tr,Sr,Sr,Cg,1
Tg,Tr,Cg,Cg,Cg,1
Sr,Sg,Tg,Cg,Cr,1
Sr,Cg,Tr,Sg,Tg,1
Tr,Tr,Cg,Cr,Cg,0
Sg,Cr,Tr,Cg,Cr,1
Sg,Cg,Cg,Tr,Tr,1
Tr,Sg,Cr,Cg,Tg,1
Cg,Tr,Tg,Tg,Cg,1
Sg,Cg,Cg,Sr,Cg,0
Tg,Cg,Tr,Tg,Cr,1
Sr,Cg,Sg,Sr,Tg,1
Cr,Cg,Tr,Sg,Sr,1
Sr,Tg,Cg,Tg,Cr,1
Sr,Cg,Sg,Cr,Cr,1
Cg,Cr,Sg,Sr,Tr,0
Tr,Cr,Sg,Cg,Tg,0
Tg,Sg,Sr,Tr,Tg,1
Sg,Cg,Sr,Tg,Cr,0
Cr,Tr,Sr,Tg,Sr,1
Tr,Cg,Sg,Tg,Tg,0
Cr,Sr,Sg,Cg,Cr,1
Sr,Cg,Sr,Tg,Tg,0
Sr,Sr,Tg,Cr,Tr,0
Sg,Tr,Sr,Tg,Cr,1
Tr,Cr,Cr,Tr,Cr,0
Sr,Sr,Cg,Tg,Sr,1
Sg,Tg,Cr,Sg,Cg,0
Tg,Sg,Sr,Tg,Sg,1
Sg,Cr,Sr,Tg,Tg,0
Sg,Tr,Sg,Sg,Sr,0
Tg,Tg,Cg,Cr,Cg,0
Tg,Cg,Sr,Sg,Sr,1
Sr,Tr,Tg,Cg,Cr,0
Cg,Sr,Sr,Sg,Sg,0
Tr,Cg,Sg,Sg,Cg,1
Sg,Cg,Sg,Cg,Tg,0
Cr,Cr,Cr,Cr,Sg,0
Sg,Sr,Cg,Cr,Cg,0
Tr,Cg,Tr,Cr,Cr,0
Sg,Cg,Sr,Tg,Cg,0
Sg,Sg,Tg,Tg,Cr,1
Sr,Tr,Sr,Sr,Sr,0
Cr,Sr,Tr,Cg,Cr,1
Sr,Tr,Sg,Tg,Sr,1
Cr,Tr,Tr,Cr,Sr,0
Sr,Sg,Sr,Sg,Sr,1
Sg,Cg,Sg,Sg,Sg,1
Sr,Sr,Tr,Tr,Sr,1
Cg,Cr,Sr,Sr,Sg,0
Tg,Sr,Sr,Cr,Cr,1
Cg,Sr,Sr,Tr,Sr,0
Tr,Sg,Cr,Sr,Cr,1
Sg,Cg,Cr,Tg,Cr,0
Tr,Tr,Cr,Sg,Tr,1
Sr,Sr,Sg,Cr,Cr,1
Cg,Sr,Sr,Tr,Cr,0
Cr,Sr,Sg,Tg,Cr,0
Cg,Sr,Tr,Sr,Tr,0
Sg,Cr,Cg,Cr,Sr,1
Tg,Tr,Sg,Sg,Tr,1
Tr,Cg,Sg,Tr,Sr,1
Sg,Tg,Tg,Sr,Sg,1
Sr,Cr,Tg,Tr,Cr,1
Sr,Sr,Tg,Sg,Tg,1
Sr,Tr,Tr,Tg,Cg,0
Sg,Tr,Sg,Tr,Sg,0
Tg,Cg,Tg,Cg,Cg,1
Sg,Sr,Sg,Tr,Cr,0
Cr,Cr,Tr,Sr,Tr,1
Sg,Sr,Cg,Tr,Cg,1
Sr,Cr,Cg,Tg,Cr,0
Sr,Sr,Sr,Sg,Tg,0
Cr,Tr,Sg,Tg,Cg,0
Cg,Sg,Cg,Cr,Cg,0
Sg,Cg,Tg,Tr,Tr,1
Tr,Tg,Sr,Sr,Cr,0
Cg,Tr,Tr,Tg,Tg,0
Sr,Tg,Cg,Cr,Tg,0
Sg,Cr,Cg,Tg,Sr,0
Sr,Cr,Cg,Sg,Tr,1
Cr,Cr,Cr,Tg,Tr,0
Tr,Sr,Cg,Sr,Tr,1
Sg,Sr,Sg,Tr,Cg,0
Tr,Cg,Cr,Sr,Tr,1
Tg,Sr,Cr,Cg,Cg,0
Cr,Cr,Tg,Tg,Tr,0
Tr,Sg,Tg,Sr,Cr,0
Sr,Cr,Sr,Sg,Cr,1
Sr,Cg,Sg,Sr,Cr,1
Cr,Cr,Tg,Tr,Tr,0
Sg,Sg,Cr,Cg,Cr,0
Cr,Sr,Cg,Sr,Cr,0
Cr,Sg,Cg,Tr,Sr,1
Sr,Cg,Cr,Sr,Tr,1
Cg,Cg,Sg,Sr,Sg,1
Tg,Tg,Cr,Cg,Tg,0
Cg,Sg,Tg,Cg,Cr,0
Cg,Tr,Sr,Cg,Cr,1
Tr,Sr,Tg,Tr,Cg,1
Cr,Sg,Tg,Cr,Tr,1
Cg,Sr,Sr,Cr,Tg,0
Cg,Sr,Tr,Cg,Cg,0
Sg,Tr,Cr,Cg,Cr,1
Tr,Sg,Sr,Sr,Cr,0
Tg,Tg,Cr,Sg,Tg,1
Tg,Sr,Cg,Sr,Tr,1
Cr,Sg,Sg,Cg,Sr,0
Sr,Sr,Sr,Sr,Sr,1
Cr,Tr,Sr,Sr,Cr,1
Tg,Cr,Sg,Tg,Sg,1
Cr,Tr,Sr,Cr,Tg,1
Cg,Cg,Cg,Tg,Cr,0
Cg,Sg,Tg,Sr,Tr,0
Tr,Sg,Sg,Tr,Tr,1
Tr,Cg,Sg,Sg,Cg,1
Sg,Cg,Tg,Sg,Sg,0
Tg,Cg,Cr,Sr,Cr,0
Tg,Tg,Cg,Cr,Cr,1
Tg,Sg,Cg,Tr,Sr,0
Cr,Tr,Sg,Sg,Tr,1
Tr,Sr,Cg,Sr,Sg,0
Tg,Cr,Sr,Sr,Cg,0
Sr,Sr,Sg,Tr,Cg,1
Tr,Sr,Sg,Tr,Sg,1
Tg,Sr,Sr,Cg,Tr,1
Tr,Cr,Cr,Sr,Cr,0
Sg,Tr,Tr,Cr,Tg,1
Sr,Sr,Sr,Cr,Tr,1
Sr,Sr,Tr,Tr,Cr,0
Tg,Cg,Cr,Sr,Tr,0
Cg,Sg,Sr,Cr,Cg,0
Cr,Cr,Tg,Tr,Sr,1
Tg,Cr,Tg,Cg,Cr,1
Tg,Tg,Sg,Tr,Sr,0
Cr,Tg,Sr,Tg,Tr,0
Sg,Tg,Tg,Sr,Cg,1
Sr,Cr,Sr,Cg,Tg,1
Sg,Tg,Tr,Cr,Sg,0
Sr,Tg,Sg,Sg,Tr,1
Cr,Cg,Tr,Cr,Sr,1
Tr,Tg,Sr,Cr,Tg,0
Cg,Cr,Sr,Sg,Sr,1
Sr,Cg,Tg,Cg,Sr,0
Tg,Cg,Tg,Tg,Cr,0
Cr,Cr,Sg,Cr,Tr,0
Tg,Sg,Tg,Tg,Sg,0
Sr,Cr,Cr,Tg,Tr,0
Sg,Tr,Tg,Cg,Sg,0
Sg,Cr,Cr,Cr,Tg,0
Cg,Tr,Tg,Tr,Sr,1
Cr,Cg,Tr,Tr,Cr,0
Cr,Sr,Cg,Cr,Tg,1
Cg,Tr,Tg,Tr,Sr,1
Sg,Tg,Sg,Tg,Sr,0
Cr,Sr,Sr,Sr,Sg,0
Tg,Tg,Sr,Cr,Sg,0
Cg,Cr,Sr,Cg,Tg,0
Cr,Cg,Cr,Tr,Tr,1
Cr,Sg,Tr,Tg,Tg,0
Sg,Tg,Cg,Sr,Cr,0
Sr,Sr,Cg,Sg,Cr,0
Sr,Cr,Sg,Sg,Tg,0
Tg,Sr,Tg,Tg,Cr,0
Sr,Sr,Cg,Sg,Sr,0
Tg,Cr,Tr,Sr,Tg,1
Sg,Tg,Tr,Cg,Tg,1
Sr,Tg,Sr,Cr,Sg,0
Sr,Cr,Cr,Sr,Sr,1
Cr,Sr,Sr,Tr,Tr,1
Sg,Tg,Sr,Cr,Cg,1
Sg,Sg,Sg,Sg,Sg,1
Cr,Sr,Sg,Sr,Tg,1
Sr,Sr,Sr,Tr,Cr,1
Tg,Sr,Sr,Tr,Cr,1
Sg,Sr,Tr,Tr,Cg,1
Tg,Tg,Sr,Tg,Cr,1
Tr,Sg,Tr,Sr,Cg,0
Tr,Cg,Cg,Sr,Sg,0
Sr,Sg,Tg,Tr,Sr,0
Tg,Sr,Cg,Sr,Sg,1
Sr,Sg,Tg,Tg,Tr,1
Sr,Tr,Cr,Sg,Sr,1
Cr,Cr,Sg,Cr,Tr,0
Cg,Cr,Tg,Sg,Sr,1
Sg,Tr,Tg,Cg,Tg,1
Tr,Sr,Tr,Cg,Cr,0
Tg,Sr,Tg,Sr,Sr,1
Sr,Cg,Cr,Sg,Sr,0
Tg,Tg,Tg,Sr,Tg,1
Tr,Sr,Sr,Tr,Cr,0
Tr,Sr,Cr,Sg,Tr,0
Tr,Cg,Cg,Cg,Sr,1
Tg,Cr,Sr,Sr,Cr,1
Tr,Sr,Tg,Tg,Tg,0
Tr,Sg,Tr,Tg,Tr,0
Sr,Tr,Sr,Tg,Sg,0
Sg,Cg,Cg,Cr,Cr,1
Tr,Tr,Tg,Cr,Sr,0
Sg,Tg,Sg,Tr,Sr,1
Tr,Tg,Sg,Tr,Sr,0
Tr,Cg,Sr,Sr,Tg,0
Sr,Tg,Tg,Tr,Sg,1
Sg,Tr,Tg,Cg,Tr,1
Cg,Tr,Tg,Sg,Sg,0
Sg,Cg,Cr,Cr,Sg,1
Cg,Tr,Tr,Sg,Cg,1
Sg,Sg,Tg,Sg,Tr,0
Sr,Tr,Sg,Cr,Tr,0
Cg,Cg,Sr,Tg,Sr,1
Sg,Cg,Tg,Sr,Cr,0
Tr,Sg,Tg,Cg,Sr,0
Tr,Cr,Tr,Tg,Tg,1
Sg,Sr,Sr,Sr,Tg,1
Cr,Tg,Sr,Cr,Tg,0
Cg,Tr,Sr,Sr,Sr,0
