Field,Present
Reactor/vessel identified,True
Run ID recorded,True
Date recorded,True
Precursor A volume recorded,True
Precursor A lot recorded,True
Reagent B volume recorded,True
Reagent B lot recorded,True
Mixing speed recorded,True
Ramp target recorded,True
Ramp rate recorded,True
Condenser water temp recorded,True
Hold time recorded,True
Hold temperature recorded,True
Endpoint indicator recorded (color),True
Centrifuge RPM recorded,True
Centrifuge time recorded,True
Tube type recorded,True
Wash solvent recorded,True
Wash volume recorded,False
No missing pages indicated,False
